0 0.7598 0.577296 0.7598 0.7598 0.7598 1.70426
1 0.7598 1.15459 0.7598 1.5196 0 0.19065
2 0.7598 1.73189 0.7598 2.2794 0 0.19664
3 0.7598 2.30918 0.7598 3.0392 0 0.202629
4 0.7598 2.88648 0.7598 3.799 0 0.208618
5 0.7598 3.46378 0.7598 4.5588 0 0.214608
6 0.7597 4.04092 0.7597 5.3185 -0.0001 0.220373
7 0.7594 4.61761 0.7594 6.0779 -0.0003 0.225888
8 0.7591 5.19384 0.7591 6.837 -0.0003 0.231802
9 0.7585 5.76916 0.7585 7.5955 -0.0006 0.23704
10 0.7578 6.34342 0.7578 8.3533 -0.0007 0.242649
11 0.7572 6.91678 0.7572 9.1105 -0.0006 0.248676
12 0.7563 7.48877 0.7563 9.8668 -0.0009 0.253827
13 0.7556 8.0597 0.7556 10.6224 -0.0007 0.260018
14 0.7542 8.62852 0.7542 11.3766 -0.0014 0.264234
15 0.7527 9.19507 0.7527 12.1293 -0.0015 0.269615
16 0.7516 9.75997 0.7516 12.8809 -0.0011 0.276081
17 0.7497 10.322 0.7497 13.6306 -0.0019 0.279944
18 0.7476 10.8809 0.7476 14.3782 -0.0021 0.284943
19 0.746 11.4374 0.746 15.1242 -0.0016 0.291448
20 0.7433 11.9899 0.7433 15.8675 -0.0027 0.294472
21 0.7413 12.5395 0.7413 16.6088 -0.002 0.301245
22 0.738 13.0841 0.738 17.3468 -0.0033 0.303687
23 0.7342 13.6232 0.7342 18.081 -0.0038 0.307581
24 0.7315 14.1583 0.7315 18.8125 -0.0027 0.314912
25 0.7268 14.6865 0.7268 19.5393 -0.0047 0.315536
26 0.7232 15.2095 0.7232 20.2625 -0.0036 0.32259
27 0.7174 15.7242 0.7174 20.9799 -0.0058 0.322481
28 0.7108 16.2294 0.7108 21.6907 -0.0066 0.324933
29 0.706 16.7278 0.706 22.3967 -0.0048 0.332969
30 0.6982 17.2153 0.6982 23.0949 -0.0078 0.330639
31 0.6924 17.6947 0.6924 23.7873 -0.0058 0.338733
32 0.683 18.1612 0.683 24.4703 -0.0094 0.334706
33 0.6724 18.6134 0.6724 25.1427 -0.0106 0.335114
34 0.6648 19.0553 0.6648 25.8075 -0.0076 0.344567
35 0.6525 19.4811 0.6525 26.46 -0.0123 0.337418
36 0.6435 19.8952 0.6435 27.1035 -0.009 0.346975
37 0.6291 20.2909 0.6291 27.7326 -0.0144 0.337747
38 0.6134 20.6672 0.6134 28.346 -0.0157 0.336291
39 0.6021 21.0297 0.6021 28.9481 -0.0113 0.34718
40 0.5842 21.371 0.5842 29.5323 -0.0179 0.334376
41 0.5646 21.6898 0.5646 30.0969 -0.0196 0.330817
42 0.5508 21.9932 0.5508 30.6477 -0.0138 0.343514
43 0.5289 22.2729 0.5289 31.1766 -0.0219 0.326333
44 0.5132 22.5363 0.5132 31.6898 -0.0157 0.339087
45 0.4885 22.7749 0.4885 32.1783 -0.0247 0.319129
46 0.471 22.9967 0.471 32.6493 -0.0175 0.333127
47 0.4433 23.1933 0.4433 33.0926 -0.0277 0.309707
48 0.4136 23.3643 0.4136 33.5062 -0.0297 0.301984
49 0.3929 23.5187 0.3929 33.8991 -0.0207 0.318213
50 0.3605 23.6487 0.3605 34.2596 -0.0324 0.290036
51 0.3376 23.7626 0.3376 34.5972 -0.0229 0.306312
52 0.3019 23.8538 0.3019 34.8991 -0.0357 0.274697
53 0.264 23.9235 0.264 35.1631 -0.0379 0.263465
54 0.2376 23.9799 0.2376 35.4007 -0.0264 0.28213
55 0.1979 24.0191 0.1979 35.5986 -0.0397 0.247754
56 0.1601 24.0447 0.1601 35.7587 -0.0378 0.243928
57 0.1403 24.0644 0.1403 35.899 -0.0198 0.276377
58 0.1338 24.0823 0.1338 36.0328 -0.0065 0.302504
59 0.1051 24.0933 0.1051 36.1379 -0.0287 0.252183
60 0.0582 24.0967 0.0582 36.1961 -0.0469 0.205213
61 -0.0422 24.0985 -0.0422 36.1539 -0.1004 0.0742707
62 -0.0611 24.1022 -0.0611 36.0928 -0.0189 0.232345
63 -0.1002 24.1123 -0.1002 35.9926 -0.0391 0.18196
64 -0.144 24.133 -0.144 35.8486 -0.0438 0.161125
65 -0.1746 24.1635 -0.1746 35.674 -0.0306 0.178953
66 -0.2215 24.2126 -0.2215 35.4525 -0.0469 0.133578
67 -0.2539 24.277 -0.2539 35.1986 -0.0324 0.152958
68 -0.3033 24.369 -0.3033 34.8953 -0.0494 0.10495
69 -0.3372 24.4827 -0.3372 34.5581 -0.0339 0.12532
70 -0.3887 24.6338 -0.3887 34.1694 -0.0515 0.0749458
71 -0.4416 24.8288 -0.4416 33.7278 -0.0529 0.0562249
72 -0.4773 25.0566 -0.4773 33.2505 -0.0357 0.0784674
73 -0.5309 25.3385 -0.5309 32.7196 -0.0536 0.0258781
74 -0.5672 25.6602 -0.5672 32.1524 -0.0363 0.0474708
75 -0.6216 26.0466 -0.6216 31.5308 -0.0544 -0.00642166
76 -0.6767 26.5045 -0.6767 30.8541 -0.0551 -0.0261131
77 -0.7316 27.0398 -0.7316 30.1225 -0.0549 -0.0443902
78 -0.7858 27.6572 -0.7858 29.3367 -0.0542 -0.06193
79 -0.8391 28.3613 -0.8391 28.4976 -0.0533 -0.0792782
80 -0.874 29.1252 -0.874 27.6236 -0.0349 -0.0575748
81 -0.9252 29.9812 -0.9252 26.6984 -0.0512 -0.109508
82 -0.959 30.9009 -0.959 25.7394 -0.0338 -0.0902158
83 -1.0081 31.9172 -1.0081 24.7313 -0.0491 -0.140309
